"subject" "activity" "V1" "NA"
-1 "LAYING" 14 0.17752216
-0.87239538 "LAYING" 14 0.1546078
-0.85384825 "LAYING" 6 0.20536516
-0.59200434 "LAYING" 20 0.14698327
-0.52106206 "LAYING" 12 -0.00018327478
-0.50382267 "LAYING" 25 -0.59420738
-0.47255704 "LAYING" 20 0.036756512
-0.46644048 "LAYING" 25 -0.61809842
-0.4208058 "LAYING" 8 -0.1084352
-0.41627026 "LAYING" 9 -0.024966026
-0.41265906 "SITTING" 26 0.25335327
-0.41192857 "LAYING" 25 -0.18150593
-0.40995186 "LAYING" 7 0.12748494
-0.36723978 "LAYING" 6 0.087724044
-0.36120533 "LAYING" 1 -0.26812111
-0.32564743 "SITTING" 9 -0.19603125
-0.31761762 "LAYING" 25 -0.48487956
-0.28379435 "LAYING" 7 -0.10291107
-0.27857371 "LAYING" 14 0.032728098
-0.27706634 "LAYING" 1 -0.68409659
-0.27033343 "LAYING" 4 0.059234721
-0.23910256 "LAYING" 1 -0.096904391
-0.18826164 "LAYING" 25 -1
-0.18139412 "SITTING" 3 0.32412953
-0.17902808 "LAYING" 25 -0.20225796
-0.16642569 "LAYING" 1 -0.11935251
-0.16108761 "WALKING_DOWNSTAIRS" 19 -0.028159984
-0.10753016 "LAYING" 25 0.013311548
-0.10751381 "LAYING" 25 -0.13492744
-0.10513023 "SITTING" 26 0.16459935
-0.088993912 "SITTING" 30 0.270256
-0.083287063 "LAYING" 1 0.010297707
-0.07295394 "SITTING" 9 -0.079915892
-0.066238871 "LAYING" 1 0.07922905
-0.0615055 "SITTING" 3 0.17408171
-0.061041328 "WALKING_UPSTAIRS" 19 -0.10820038
-0.047663634 "WALKING_UPSTAIRS" 20 -0.12549449
-0.041701306 "SITTING" 1 0.17510248
-0.029617097 "SITTING" 26 0.092893441
-0.029595164 "WALKING_UPSTAIRS" 5 -0.13771658
-0.028548375 "LAYING" 24 -0.024652642
-0.025282608 "WALKING_DOWNSTAIRS" 30 -0.0045950043
-0.021257043 "LAYING" 8 -0.15904825
-0.01321445 "WALKING_UPSTAIRS" 5 -0.15509928
-0.0088748512 "LAYING" 25 -0.071039499
-0.0030603725 "SITTING" 30 0.21030208
-0.0023770934 "WALKING_UPSTAIRS" 23 -0.11804976
0.0011888261 "LAYING" 26 -0.055203885
0.0056960978 "WALKING_UPSTAIRS" 22 -0.12187889
0.013903671 "SITTING" 1 0.15329608
0.015401592 "WALKING_UPSTAIRS" 17 -0.089861762
0.017831814 "WALKING_UPSTAIRS" 22 -0.058140421
0.019016151 "LAYING" 1 -0.0070373566
0.022331938 "WALKING_UPSTAIRS" 20 -0.081228144
0.022459037 "LAYING" 21 -0.056728123
0.026059171 "WALKING_DOWNSTAIRS" 19 0.0055292694
0.027627558 "WALKING_UPSTAIRS" 19 -0.074289259
0.028501893 "WALKING_DOWNSTAIRS" 19 -0.012143784
0.029089121 "WALKING_UPSTAIRS" 20 -0.12636735
0.02938717 "LAYING" 25 -0.68489328
0.032150855 "SITTING" 8 0.23568715
0.03515894 "WALKING_UPSTAIRS" 17 -0.031773114
0.040197961 "LAYING" 23 -0.041462874
0.042405499 "LAYING" 26 -0.036058346
0.044666967 "SITTING" 9 -0.10083623
0.047593491 "WALKING_UPSTAIRS" 19 -0.12500551
0.047926064 "WALKING_UPSTAIRS" 14 -0.066885299
0.048761309 "WALKING_DOWNSTAIRS" 19 0.0031227641
0.050852588 "WALKING_DOWNSTAIRS" 19 6.817593e-05
0.051028466 "LAYING" 4 0.0065653695
0.053458646 "LAYING" 22 -0.054478346
0.053574526 "LAYING" 17 0.093769094
0.055138153 "WALKING_UPSTAIRS" 7 -0.067380867
0.057378168 "WALKING_UPSTAIRS" 7 -0.12912884
0.057515757 "WALKING_UPSTAIRS" 13 -0.18177382
0.05859506 "WALKING_UPSTAIRS" 21 -0.050059254
0.058825669 "WALKING_UPSTAIRS" 3 -0.1086128
0.061186573 "LAYING" 4 -0.011163862
0.062630676 "WALKING_UPSTAIRS" 7 -0.062838581
0.063685486 "WALKING_UPSTAIRS" 23 -0.11922731
0.064073197 "WALKING_UPSTAIRS" 14 -0.0051229331
0.06542056 "WALKING_UPSTAIRS" 24 -0.13433575
0.069324092 "WALKING_DOWNSTAIRS" 23 -0.0073382074
0.070536278 "LAYING" 6 0.0058903436
0.070999584 "LAYING" 21 -0.042099278
0.071035289 "WALKING_DOWNSTAIRS" 2 -0.015656183
0.073728786 "WALKING_UPSTAIRS" 2 -0.14822575
0.074787876 "WALKING_DOWNSTAIRS" 5 -0.026592228
0.075547189 "WALKING_DOWNSTAIRS" 5 0.035737002
0.076304242 "WALKING_DOWNSTAIRS" 21 0.0062245014
0.07654368 "LAYING" 10 -0.3628841
0.076997618 "SITTING" 22 0.1247486
0.07710126 "LAYING" 22 -0.016391208
0.077308875 "WALKING_UPSTAIRS" 11 -0.033641311
0.077319451 "WALKING_UPSTAIRS" 16 -0.10498064
